,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20060813,52,KARB,30.08,0,63,129,3
1,20060814,62,KARB,29.85,0,67,249,7
2,20060815,52,KARB,29.97,0,64,257,6
3,20060816,54,KARB,30.18,0,66,47,5
4,20060817,58,KARB,30.18,1,67,90,3
5,20060818,64,KARB,30.06,1,74,99,3
6,20060819,68,KARB,29.91,1,72,274,4
7,20060820,56,KARB,30.02,0,66,335,10
8,20060821,53,KARB,30.13,0,64,244,3
9,20060822,56,KARB,30.11,1,66,293,3
10,20060823,55,KARB,30.06,0,67,294,1
11,20060824,64,KARB,29.95,1,67,19,3
12,20060825,66,KARB,29.94,0,71,113,2
13,20060826,70,KARB,29.97,0,75,126,8
14,20060827,69,KARB,29.94,1,72,17,4
15,20060828,62,KARB,29.91,1,66,53,5
16,20060829,60,KARB,29.87,1,66,47,9
17,20060830,59,KARB,30.02,0,67,29,8
18,20060831,52,KARB,30.14,0,65,47,9
19,20060901,55,KARB,30.18,0,62,54,8
20,20060902,55,KARB,30.16,1,63,46,8
21,20060903,53,KARB,30.13,0,61,327,7
22,20060904,51,KARB,30.13,0,60,249,2
23,20060905,50,KARB,30.09,1,60,248,1
24,20060906,57,KARB,30.06,1,66,281,4
25,20060907,57,KARB,30.07,0,64,176,1
26,20060908,55,KARB,30.01,0,66,228,2
27,20060909,56,KARB,30.08,1,61,27,5
28,20060910,47,KARB,30.24,0,58,44,9
29,20060911,52,KARB,30.21,1,60,67,8
30,20060912,63,KARB,29.94,1,64,100,4
31,20060913,62,KARB,29.79,1,68,185,3
32,20060914,58,KARB,29.97,1,62,5,7
33,20060915,54,KARB,30.15,0,57,34,3
34,20060916,54,KARB,30.15,0,62,145,1
35,20060917,58,KARB,29.91,0,66,191,5
36,20060918,59,KARB,29.72,1,62,242,8
37,20060919,47,KARB,29.81,1,54,247,9
38,20060920,44,KARB,29.93,0,50,282,9
39,20060921,38,KARB,30.07,0,47,178,3
40,20060922,55,KARB,29.84,1,58,144,7
41,20060923,63,KARB,29.67,1,66,200,7
42,20060924,52,KARB,29.70,1,55,263,13
43,20060925,40,KARB,29.92,0,50,243,5
44,20060926,41,KARB,29.99,0,50,204,1
45,20060927,49,KARB,29.75,1,56,232,5
46,20060928,42,KARB,29.82,0,47,325,8
47,20060929,33,KARB,29.93,0,42,224,1
48,20060930,47,KARB,29.80,1,50,205,6
49,20061001,44,KARB,30.02,0,52,262,5
50,20061002,49,KARB,30.10,1,53,217,4
51,20061003,58,KARB,30.07,1,66,167,4
52,20061004,59,KARB,30.03,1,60,301,9
53,20061005,36,KARB,30.32,0,49,29,8
54,20061006,35,KARB,30.45,0,46,38,7
55,20061007,39,KARB,30.38,0,48,114,2
56,20061008,39,KARB,30.26,0,50,209,1
57,20061009,41,KARB,30.16,0,54,329,1
58,20061010,44,KARB,30.04,1,52,50,6
59,20061011,54,KARB,29.45,1,52,199,9
60,20061012,29,KARB,29.60,1,36,247,15
61,20061013,24,KARB,29.64,0,37,225,13
62,20061014,27,KARB,29.83,0,42,260,12
63,20061015,28,KARB,30.06,0,40,242,6
64,20061016,36,KARB,30.07,1,44,123,2
65,20061017,,KARB,29.60,0,,-1,
66,20061018,51,KARB,29.82,0,58,212,7
67,20061019,44,KARB,29.78,1,45,281,9
68,20061020,35,KARB,29.81,0,44,298,7
69,20061021,39,KARB,29.93,1,49,197,6
70,20061022,40,KARB,29.75,1,42,257,8
71,20061023,30,KARB,29.94,1,37,261,12
72,20061024,30,KARB,30.05,0,38,290,10
73,20061025,30,KARB,30.21,0,38,291,5
74,20061026,29,KARB,30.20,1,36,122,3
75,20061027,40,KARB,29.82,1,41,54,8
76,20061028,35,KARB,29.45,1,40,287,14
77,20061029,24,KARB,29.78,0,39,257,14
78,20061030,37,KARB,29.86,0,47,189,5
79,20061031,38,KARB,29.85,0,45,250,13
80,20061101,24,KARB,30.11,0,35,261,5
81,20061102,24,KARB,30.17,0,27,265,11
82,20061103,21,KARB,30.40,0,26,246,8
83,20061104,23,KARB,30.44,0,30,176,3
84,20061105,29,KARB,30.32,0,43,190,6
85,20061106,31,KARB,30.24,0,44,190,2
86,20061107,45,KARB,29.92,1,46,150,4
87,20061108,46,KARB,29.69,0,47,233,3
88,20061109,44,KARB,29.67,0,54,244,8
89,20061110,37,KARB,29.90,1,42,60,9
90,20061111,34,KARB,29.98,1,37,346,13
91,20061112,29,KARB,30.29,0,34,341,7
92,20061113,32,KARB,30.07,0,36,180,6
93,20061114,34,KARB,29.91,0,36,164,1
94,20061115,37,KARB,29.83,1,39,51,6
95,20061116,38,KARB,29.51,1,38,354,13
96,20061117,31,KARB,29.84,0,36,284,10
97,20061118,30,KARB,30.07,0,38,336,4
98,20061119,29,KARB,30.14,0,34,331,8
99,20061120,24,KARB,30.32,0,34,348,6
100,20061121,24,KARB,30.46,0,30,186,3
101,20061122,24,KARB,30.39,0,34,134,1
102,20061123,27,KARB,30.30,0,34,190,1
103,20061124,27,KARB,30.26,0,34,132,1
104,20061125,29,KARB,30.15,0,38,198,1
105,20061126,38,KARB,30.19,0,44,194,4
106,20061127,41,KARB,30.19,0,46,195,2
107,20061128,44,KARB,30.10,0,54,180,7
108,20061129,55,KARB,30.01,1,58,193,10
109,20061130,43,KARB,29.95,1,46,6,9
110,20061201,30,KARB,29.65,1,34,328,16
111,20061202,22,KARB,30.29,0,30,230,15
112,20061203,16,KARB,30.35,0,24,258,13
113,20061204,15,KARB,30.21,0,22,225,12
114,20061205,18,KARB,30.21,0,20,241,7
115,20061206,26,KARB,29.91,0,34,259,13
116,20061207,13,KARB,30.23,0,22,303,13
117,20061208,10,KARB,30.44,0,22,255,12
118,20061209,14,KARB,30.25,0,29,214,13
119,20061210,19,KARB,30.24,1,38,209,12
120,20061211,27,KARB,30.35,0,44,178,7
121,20061212,39,KARB,30.12,1,44,146,7
122,20061213,37,KARB,29.94,0,39,219,12
123,20061214,35,KARB,29.78,0,40,199,7
124,20061215,32,KARB,29.76,0,40,261,12
125,20061216,31,KARB,30.02,0,37,178,4
126,20061217,45,KARB,30.00,1,48,251,7
127,20061218,27,KARB,30.28,1,36,321,7
128,20061219,23,KARB,30.41,0,30,252,5
129,20061220,24,KARB,30.33,0,32,217,6
130,20061221,35,KARB,30.25,1,37,91,5
131,20061222,44,KARB,29.88,1,47,126,9
132,20061223,35,KARB,29.86,1,40,237,14
133,20061224,32,KARB,30.16,1,36,247,9
134,20061225,32,KARB,29.90,1,34,34,4
135,20061226,30,KARB,29.71,1,35,325,10
136,20061227,27,KARB,30.01,0,34,231,10
137,20061228,30,KARB,30.29,0,38,157,5
138,20061229,34,KARB,30.50,0,36,76,6
139,20061230,35,KARB,30.44,0,40,134,3
140,20061231,41,KARB,29.94,1,43,104,10
141,20070101,33,KARB,29.83,1,40,252,14
142,20070102,27,KARB,30.32,0,32,232,8
143,20070103,30,KARB,30.15,0,38,208,9
144,20070104,39,KARB,29.85,1,42,203,10
145,20070105,46,KARB,29.68,1,47,214,4
146,20070106,37,KARB,29.82,1,37,268,8
147,20070107,31,KARB,29.99,1,30,89,3
148,20070108,27,KARB,29.71,1,32,251,14
149,20070109,19,KARB,29.94,0,26,284,11
150,20070110,15,KARB,30.31,0,24,250,10
151,20070111,22,KARB,30.14,1,34,193,11
152,20070112,44,KARB,30.11,1,44,228,9
153,20070113,28,KARB,30.29,1,32,5,5
154,20070114,28,KARB,30.23,1,29,-1,0
155,20070115,29,KARB,29.91,1,30,-1,0
156,20070116,15,KARB,30.32,0,18,260,0
157,20070117,13,KARB,30.62,0,18,209,4
158,20070118,24,KARB,30.11,1,26,212,8
159,20070119,21,KARB,30.05,0,24,270,14
160,20070120,10,KARB,30.37,0,16,295,6
161,20070121,21,KARB,30.06,1,22,94,7
162,20070122,20,KARB,29.95,0,22,305,6
163,20070123,22,KARB,29.90,0,24,248,11
164,20070124,22,KARB,30.01,0,24,252,7
165,20070125,6,KARB,30.14,0,11,320,10
166,20070126,15,KARB,29.90,0,21,185,6
167,20070127,26,KARB,29.69,0,32,273,10
168,20070128,15,KARB,29.82,0,17,329,6
169,20070129,10,KARB,29.97,0,10,205,6
170,20070130,14,KARB,29.91,0,16,257,6
171,20070131,4,KARB,30.08,0,10,217,8
172,20070201,13,KARB,29.81,0,18,209,9
173,20070202,8,KARB,29.73,0,14,238,11
174,20070203,0,KARB,29.85,0,8,233,17
175,20070204,-7,KARB,30.15,0,0,257,15
176,20070205,-6,KARB,30.40,0,0,253,11
177,20070206,-6,KARB,30.27,0,2,231,8
178,20070207,0,KARB,30.15,0,8,257,9
179,20070208,2,KARB,30.13,0,12,255,13
180,20070209,5,KARB,30.19,0,10,252,8
181,20070210,7,KARB,30.16,0,14,257,9
182,20070211,5,KARB,30.19,0,14,227,10
183,20070212,20,KARB,30.23,0,24,87,5
184,20070213,5,KARB,30.14,0,14,38,15
185,20070214,4,KARB,30.05,0,10,351,16
186,20070215,1,KARB,30.12,0,7,279,9
187,20070216,2,KARB,29.98,0,10,227,9
188,20070217,13,KARB,29.77,0,15,253,6
189,20070218,10,KARB,29.98,0,12,297,7
190,20070219,15,KARB,29.87,0,21,191,9
191,20070220,26,KARB,29.72,0,30,249,6
192,20070221,23,KARB,29.86,0,24,189,3
193,20070222,26,KARB,29.81,0,32,260,14
194,20070223,7,KARB,30.39,0,22,1,9
195,20070224,13,KARB,30.31,0,21,78,8
196,20070225,26,KARB,29.75,1,28,86,13
197,20070226,28,KARB,29.73,0,32,207,6
198,20070227,27,KARB,29.96,0,30,251,5
199,20070228,28,KARB,30.12,0,32,122,6
200,20070301,32,KARB,29.60,1,36,88,13
201,20070302,26,KARB,29.32,1,32,229,18
202,20070303,20,KARB,29.65,0,27,249,17
203,20070304,17,KARB,29.96,0,27,265,15
204,20070305,11,KARB,30.16,0,21,316,17
205,20070306,4,KARB,30.47,0,12,34,6
206,20070307,11,KARB,30.28,0,17,67,4
207,20070308,10,KARB,30.33,0,18,158,3
208,20070309,21,KARB,30.13,1,32,112,5
209,20070310,34,KARB,29.99,1,42,252,7
210,20070311,21,KARB,30.40,0,39,274,7
211,20070312,29,KARB,30.18,1,36,202,5
212,20070313,42,KARB,29.93,0,50,213,7
213,20070314,51,KARB,29.82,1,54,274,10
214,20070315,27,KARB,30.15,1,32,23,12
215,20070316,16,KARB,30.20,0,30,27,11
216,20070317,16,KARB,30.13,0,30,337,10
217,20070318,15,KARB,30.23,0,30,295,9
218,20070319,29,KARB,29.99,1,38,207,10
219,20070320,20,KARB,30.50,0,33,51,8
220,20070321,33,KARB,30.29,1,40,141,8
221,20070322,47,KARB,29.94,1,54,241,12
222,20070323,33,KARB,30.17,0,44,96,5
223,20070324,45,KARB,30.17,0,54,277,5
224,20070325,41,KARB,30.30,0,50,106,5
225,20070326,53,KARB,29.99,1,63,230,8
226,20070327,55,KARB,30.08,1,64,213,7
227,20070328,35,KARB,30.35,0,49,59,13
228,20070329,17,KARB,30.49,0,45,85,15
229,20070330,25,KARB,30.32,0,50,61,5
230,20070331,29,KARB,30.09,0,48,89,9
231,20070401,43,KARB,29.78,1,56,177,8
232,20070402,38,KARB,29.89,0,54,264,17
233,20070403,44,KARB,29.86,1,56,130,7
234,20070404,29,KARB,29.75,1,42,267,20
235,20070405,15,KARB,29.95,0,26,293,18
236,20070406,15,KARB,29.90,0,26,300,13
237,20070407,18,KARB,29.83,0,24,281,12
238,20070408,20,KARB,30.00,0,28,282,11
239,20070409,24,KARB,30.08,0,34,287,6
240,20070410,25,KARB,30.09,0,35,307,4
241,20070411,32,KARB,29.66,1,38,78,14
242,20070412,36,KARB,29.54,1,40,232,12
243,20070413,24,KARB,30.07,0,42,280,15
244,20070414,22,KARB,30.01,0,34,41,7
245,20070415,24,KARB,29.84,0,41,7,13
246,20070416,24,KARB,29.85,0,46,327,15
247,20070417,28,KARB,29.92,0,50,351,9
248,20070418,34,KARB,29.92,0,40,35,7
249,20070419,36,KARB,30.04,0,51,48,9
250,20070420,33,KARB,30.23,0,54,22,3
251,20070421,32,KARB,30.23,0,53,187,3
252,20070422,39,KARB,30.08,0,57,203,5
253,20070423,48,KARB,29.87,0,66,237,13
254,20070424,39,KARB,30.11,0,50,34,6
255,20070425,43,KARB,30.03,1,48,77,8
256,20070426,47,KARB,29.79,1,48,89,9
257,20070427,48,KARB,29.71,1,50,238,9
258,20070428,44,KARB,29.85,1,56,284,9
259,20070429,44,KARB,29.93,0,60,269,10
260,20070430,39,KARB,29.95,1,60,332,9
261,20070501,47,KARB,29.92,1,54,88,6
262,20070502,45,KARB,30.01,0,54,40,2
263,20070503,35,KARB,30.22,0,54,63,7
264,20070504,32,KARB,30.17,0,56,72,8
265,20070505,32,KARB,30.17,0,58,50,9
266,20070506,24,KARB,30.44,0,53,88,11
267,20070507,34,KARB,30.28,0,56,144,7
268,20070508,51,KARB,30.06,0,62,195,2
269,20070509,62,KARB,29.96,1,60,159,4
270,20070510,55,KARB,29.94,0,62,256,2
271,20070511,54,KARB,29.94,0,66,17,1
272,20070512,37,KARB,30.15,0,55,21,9
273,20070513,28,KARB,30.32,0,45,95,6
274,20070514,39,KARB,30.11,0,58,181,5
275,20070515,57,KARB,29.78,1,72,245,14
276,20070516,49,KARB,29.85,1,52,309,9
277,20070517,39,KARB,30.18,1,46,7,7
278,20070518,34,KARB,30.28,0,48,272,1
279,20070519,44,KARB,30.10,1,56,236,5
280,20070520,48,KARB,30.04,0,57,346,7
281,20070521,42,KARB,30.19,0,52,99,6
282,20070522,51,KARB,30.19,0,63,126,5
283,20070523,52,KARB,30.21,0,70,171,4
284,20070524,53,KARB,30.24,0,69,201,4
285,20070525,59,KARB,30.21,1,66,264,7
286,20070526,55,KARB,30.19,1,58,75,5
287,20070527,59,KARB,30.04,1,64,224,8
288,20070528,46,KARB,30.16,0,58,276,1
289,20070529,56,KARB,30.21,0,66,113,3
290,20070530,61,KARB,30.13,1,70,137,3
291,20070531,60,KARB,30.08,0,72,204,2
292,20070601,61,KARB,29.98,0,74,177,2
293,20070602,61,KARB,29.87,1,70,325,1
294,20070603,63,KARB,29.60,1,68,90,5
295,20070604,60,KARB,29.43,1,66,248,4
296,20070605,51,KARB,29.63,1,56,326,11
297,20070606,42,KARB,29.92,0,52,158,4
298,20070607,59,KARB,29.73,0,73,181,11
299,20070608,61,KARB,29.78,1,72,251,12
300,20070609,48,KARB,30.11,0,60,13,4
301,20070610,47,KARB,30.09,0,61,199,1
302,20070611,51,KARB,30.13,0,65,12,3
303,20070612,52,KARB,30.17,0,67,31,5
304,20070613,54,KARB,30.08,0,72,33,4
305,20070614,56,KARB,30.04,0,70,113,3
306,20070615,54,KARB,30.03,0,68,69,3
307,20070616,53,KARB,30.01,0,67,246,1
308,20070617,63,KARB,29.97,0,74,290,4
309,20070618,62,KARB,29.92,0,76,207,5
310,20070619,60,KARB,29.88,1,72,247,10
311,20070620,48,KARB,30.08,0,62,269,5
312,20070621,51,KARB,30.03,0,68,303,9
313,20070622,45,KARB,30.08,0,60,7,6
314,20070623,47,KARB,30.04,0,60,137,3
315,20070624,54,KARB,30.04,0,62,167,3
316,20070625,59,KARB,30.11,0,70,192,1
317,20070626,65,KARB,30.16,0,74,221,2
318,20070627,68,KARB,30.02,1,78,230,8
319,20070628,60,KARB,30.03,0,70,23,7
320,20070629,48,KARB,30.11,0,66,11,5
321,20070630,48,KARB,30.10,0,63,13,2
322,20070701,45,KARB,30.23,0,62,31,8
323,20070702,44,KARB,30.29,0,58,62,4
324,20070703,51,KARB,30.12,0,68,157,3
325,20070704,61,KARB,29.90,1,70,240,4
326,20070705,59,KARB,29.90,0,70,300,3
327,20070706,55,KARB,29.99,0,68,313,6
328,20070707,54,KARB,29.93,0,70,255,4
329,20070708,63,KARB,29.78,0,78,236,9
330,20070709,63,KARB,29.81,0,82,230,8
331,20070710,66,KARB,29.80,0,78,202,6
332,20070711,53,KARB,29.80,0,68,289,14
333,20070712,47,KARB,29.89,0,66,259,9
334,20070713,46,KARB,29.97,0,62,292,6
335,20070714,52,KARB,29.80,1,62,241,7
336,20070715,50,KARB,29.86,0,65,313,6
337,20070716,53,KARB,29.98,1,64,275,3
338,20070717,63,KARB,29.96,1,68,176,2
339,20070718,63,KARB,29.90,0,73,241,2
340,20070719,64,KARB,29.76,1,72,276,8
341,20070720,49,KARB,30.06,0,64,347,9
342,20070721,45,KARB,30.21,0,60,35,3
343,20070722,47,KARB,30.26,0,62,134,1
344,20070723,50,KARB,30.14,0,65,105,3
345,20070724,57,KARB,30.06,1,69,160,3
346,20070725,59,KARB,30.07,1,62,194,2
347,20070726,59,KARB,30.01,1,64,193,2
348,20070727,64,KARB,29.85,1,73,184,6
349,20070728,62,KARB,29.90,0,74,26,6
350,20070729,61,KARB,29.96,0,73,35,7
351,20070730,56,KARB,30.01,0,70,24,3
352,20070731,61,KARB,30.03,0,75,294,2
353,20070801,64,KARB,30.00,0,76,286,1
354,20070802,64,KARB,29.97,0,78,235,4
355,20070803,57,KARB,29.96,0,78,280,6
356,20070804,55,KARB,30.05,0,73,40,7
357,20070805,65,KARB,29.89,1,68,132,4
358,20070806,71,KARB,29.82,1,80,281,4
359,20070807,72,KARB,29.81,1,79,210,5
360,20070808,70,KARB,29.82,1,80,292,5
361,20070809,68,KARB,29.85,1,74,58,5
362,20070810,67,KARB,29.91,1,76,35,5
363,20070811,60,KARB,30.05,0,70,166,1
364,20070812,64,KARB,30.03,0,74,275,5
365,20070813,51,KARB,30.09,0,68,357,9
366,20070814,57,KARB,29.97,0,66,224,5
367,20070815,65,KARB,29.93,1,70,200,4
368,20070816,66,KARB,29.88,0,72,271,3
369,20070817,47,KARB,30.01,0,66,300,8
370,20070818,48,KARB,30.24,1,55,112,4
371,20070819,57,KARB,30.11,1,59,86,5
372,20070820,61,KARB,29.98,1,62,75,10
373,20070821,62,KARB,29.99,0,66,78,6
374,20070822,69,KARB,30.01,1,78,167,4
375,20070823,70,KARB,29.95,1,78,231,6
376,20070824,69,KARB,29.84,1,76,217,6
377,20070825,67,KARB,29.84,1,70,241,6
378,20070826,54,KARB,30.08,0,67,351,7
379,20070827,55,KARB,30.15,0,64,130,2
380,20070828,59,KARB,30.09,0,68,193,1
381,20070829,65,KARB,30.03,1,74,249,2
382,20070830,57,KARB,30.11,0,68,14,10
383,20070831,50,KARB,30.17,0,60,22,4
384,20070901,51,KARB,30.24,0,64,113,1
