,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20040101,27,GA/Athens,30.38,0,52,213,2
1,20040102,41,GA/Athens,30.26,0,54,205,3
2,20040103,55,GA/Athens,30.19,0,59,206,4
3,20040104,57,GA/Athens,30.09,0,62,183,4
4,20040105,57,GA/Athens,29.98,1,54,224,11
5,20040106,23,GA/Athens,30.34,0,37,262,12
6,20040107,5,GA/Athens,30.50,0,29,258,8
7,20040108,15,GA/Athens,30.36,1,34,202,2
8,20040109,33,GA/Athens,30.12,1,36,267,2
9,20040110,29,GA/Athens,30.30,0,32,132,4
10,20040111,24,GA/Athens,30.43,0,34,226,2
11,20040112,26,GA/Athens,30.33,0,44,226,8
12,20040113,31,GA/Athens,30.22,0,52,239,7
13,20040114,37,GA/Athens,30.03,0,50,240,7
14,20040115,32,GA/Athens,29.94,0,48,254,13
15,20040116,20,GA/Athens,30.14,0,42,186,3
16,20040117,31,GA/Athens,30.06,1,42,94,4
17,20040118,45,GA/Athens,29.70,1,50,203,9
18,20040119,25,GA/Athens,29.88,0,38,263,8
19,20040120,18,GA/Athens,30.15,0,35,238,5
20,20040121,20,GA/Athens,30.20,0,36,260,2
21,20040122,22,GA/Athens,30.10,0,43,243,9
22,20040123,10,GA/Athens,30.13,0,39,241,11
23,20040124,31,GA/Athens,29.99,0,49,234,7
24,20040125,37,GA/Athens,30.02,1,39,100,8
25,20040126,28,GA/Athens,29.99,1,29,43,6
26,20040127,28,GA/Athens,29.94,0,37,248,9
27,20040128,15,GA/Athens,30.20,0,34,248,13
28,20040129,14,GA/Athens,30.13,0,38,233,7
29,20040130,22,GA/Athens,29.92,0,45,243,8
30,20040131,18,GA/Athens,30.07,0,38,140,7
31,20040201,14,GA/Athens,30.24,0,39,92,10
32,20040202,27,GA/Athens,30.25,1,34,65,13
33,20040203,31,GA/Athens,30.13,1,42,235,6
34,20040204,29,GA/Athens,30.31,0,40,108,7
35,20040205,32,GA/Athens,30.31,1,37,86,12
36,20040206,32,GA/Athens,29.91,1,43,162,8
37,20040207,24,GA/Athens,30.10,0,36,253,17
38,20040208,19,GA/Athens,30.49,0,37,139,9
39,20040209,27,GA/Athens,30.42,0,40,88,4
40,20040210,37,GA/Athens,30.20,1,42,235,5
41,20040211,32,GA/Athens,30.17,1,52,242,5
42,20040212,38,GA/Athens,30.14,1,39,69,8
43,20040213,39,GA/Athens,30.24,0,46,214,0
44,20040214,44,GA/Athens,30.03,1,45,96,4
45,20040215,42,GA/Athens,29.89,1,44,108,11
46,20040216,30,GA/Athens,30.34,0,36,88,8
47,20040217,23,GA/Athens,30.41,0,38,83,8
48,20040218,26,GA/Athens,30.31,0,44,257,7
49,20040219,24,GA/Athens,30.13,0,50,232,7
50,20040220,41,GA/Athens,29.94,0,50,198,7
51,20040221,39,GA/Athens,29.89,1,54,236,11
52,20040222,29,GA/Athens,30.13,0,49,188,5
53,20040223,37,GA/Athens,30.14,0,45,80,5
54,20040224,42,GA/Athens,29.95,1,48,65,6
55,20040225,36,GA/Athens,30.00,1,44,96,12
56,20040226,30,GA/Athens,30.08,1,34,77,13
57,20040227,34,GA/Athens,30.21,0,39,59,6
58,20040228,27,GA/Athens,30.38,0,44,81,4
59,20040229,26,GA/Athens,30.38,0,47,118,4
60,20040301,45,GA/Athens,30.26,0,60,144,6
61,20040302,54,GA/Athens,30.23,0,67,208,8
62,20040303,56,GA/Athens,30.28,0,66,192,3
63,20040304,54,GA/Athens,30.18,0,68,166,3
64,20040305,60,GA/Athens,30.10,0,66,179,9
65,20040306,55,GA/Athens,29.99,1,64,221,12
66,20040307,38,GA/Athens,30.03,0,59,239,8
67,20040308,28,GA/Athens,30.07,0,52,257,12
68,20040309,32,GA/Athens,29.99,0,46,84,4
69,20040310,29,GA/Athens,30.20,0,44,36,5
70,20040311,27,GA/Athens,30.22,0,47,203,5
71,20040312,21,GA/Athens,30.14,0,54,246,9
72,20040313,20,GA/Athens,30.31,0,52,113,7
73,20040314,39,GA/Athens,30.31,0,56,124,6
74,20040315,50,GA/Athens,30.12,1,67,135,5
75,20040316,50,GA/Athens,29.86,1,64,225,5
76,20040317,32,GA/Athens,29.97,0,54,247,8
77,20040318,40,GA/Athens,30.09,0,54,187,2
78,20040319,40,GA/Athens,30.24,0,62,255,4
79,20040320,44,GA/Athens,30.29,1,62,116,8
80,20040321,36,GA/Athens,30.09,1,52,251,10
81,20040322,16,GA/Athens,30.30,0,42,282,6
82,20040323,15,GA/Athens,30.49,0,44,103,5
83,20040324,25,GA/Athens,30.50,0,52,136,5
84,20040325,42,GA/Athens,30.51,0,60,122,5
85,20040326,48,GA/Athens,30.44,0,62,142,5
86,20040327,50,GA/Athens,30.30,0,65,180,4
87,20040328,49,GA/Athens,30.18,0,66,125,2
88,20040329,46,GA/Athens,30.21,0,64,113,9
89,20040330,47,GA/Athens,30.03,1,60,181,5
90,20040331,40,GA/Athens,29.88,1,50,231,8
91,20040401,32,GA/Athens,29.87,0,49,259,11
92,20040402,34,GA/Athens,29.87,0,50,258,11
93,20040403,37,GA/Athens,29.85,0,56,242,8
94,20040404,23,GA/Athens,29.86,0,55,258,11
95,20040405,24,GA/Athens,30.03,0,53,261,8
96,20040406,26,GA/Athens,30.06,0,56,169,5
97,20040407,38,GA/Athens,29.87,0,61,201,3
98,20040408,48,GA/Athens,29.72,0,63,223,4
99,20040409,38,GA/Athens,29.85,0,64,239,6
100,20040410,37,GA/Athens,29.90,0,60,268,3
101,20040411,51,GA/Athens,29.87,1,64,8,3
102,20040412,51,GA/Athens,29.76,1,57,82,11
103,20040413,48,GA/Athens,29.68,1,51,185,9
104,20040414,34,GA/Athens,29.91,1,47,261,14
105,20040415,33,GA/Athens,30.17,0,57,268,4
106,20040416,39,GA/Athens,30.26,0,60,183,2
107,20040417,44,GA/Athens,30.34,0,65,195,4
108,20040418,48,GA/Athens,30.37,0,67,208,4
109,20040419,48,GA/Athens,30.30,0,68,219,5
110,20040420,48,GA/Athens,30.08,0,72,222,5
111,20040421,48,GA/Athens,30.01,0,69,191,5
112,20040422,50,GA/Athens,30.08,0,68,186,5
113,20040423,53,GA/Athens,30.10,0,70,205,3
114,20040424,55,GA/Athens,30.10,0,72,170,3
115,20040425,58,GA/Athens,30.10,0,72,165,7
116,20040426,61,GA/Athens,30.00,1,62,217,6
117,20040427,40,GA/Athens,30.00,0,58,263,8
118,20040428,36,GA/Athens,30.22,0,58,129,6
119,20040429,52,GA/Athens,30.32,0,63,129,6
120,20040430,61,GA/Athens,30.21,1,66,110,6
121,20040501,64,GA/Athens,30.04,1,70,120,4
122,20040502,63,GA/Athens,29.92,1,65,198,9
123,20040503,40,GA/Athens,30.02,0,54,252,10
124,20040504,38,GA/Athens,30.16,0,53,234,5
125,20040505,49,GA/Athens,30.10,0,64,239,5
126,20040506,52,GA/Athens,30.15,0,72,250,5
127,20040507,54,GA/Athens,30.17,0,73,258,4
128,20040508,56,GA/Athens,30.15,0,76,103,7
129,20040509,61,GA/Athens,30.15,0,72,109,5
130,20040510,59,GA/Athens,30.18,0,72,134,5
131,20040511,60,GA/Athens,30.19,0,72,138,4
132,20040512,65,GA/Athens,30.21,1,70,129,6
133,20040513,64,GA/Athens,30.20,1,74,137,5
134,20040514,62,GA/Athens,30.22,0,72,150,6
135,20040515,60,GA/Athens,30.22,0,72,147,5
136,20040516,64,GA/Athens,30.25,1,72,186,4
137,20040517,61,GA/Athens,30.30,0,72,123,4
138,20040518,65,GA/Athens,30.27,1,72,194,4
139,20040519,64,GA/Athens,30.20,0,73,203,2
140,20040520,64,GA/Athens,30.20,0,76,230,2
141,20040521,65,GA/Athens,30.14,0,78,240,2
142,20040522,67,GA/Athens,30.05,1,78,230,2
143,20040523,64,GA/Athens,30.01,0,76,214,2
144,20040524,63,GA/Athens,30.02,0,76,229,4
145,20040525,65,GA/Athens,29.98,0,82,228,5
146,20040526,64,GA/Athens,29.93,0,82,227,7
147,20040527,62,GA/Athens,29.88,0,80,218,7
148,20040528,64,GA/Athens,29.87,0,80,240,7
149,20040529,65,GA/Athens,29.97,0,75,223,4
150,20040530,67,GA/Athens,29.94,0,78,216,4
151,20040531,66,GA/Athens,29.85,1,74,225,8
152,20040601,62,GA/Athens,29.92,0,70,212,5
153,20040602,61,GA/Athens,30.02,0,73,226,3
154,20040603,62,GA/Athens,30.08,0,75,231,4
155,20040604,62,GA/Athens,30.02,0,76,235,5
156,20040605,56,GA/Athens,30.01,0,72,290,3
157,20040606,57,GA/Athens,30.01,0,76,245,3
158,20040607,65,GA/Athens,30.10,1,77,145,6
159,20040608,67,GA/Athens,30.21,1,73,87,6
160,20040609,69,GA/Athens,30.18,1,74,96,5
161,20040610,69,GA/Athens,30.06,0,78,158,2
162,20040611,69,GA/Athens,29.96,0,80,250,3
163,20040612,69,GA/Athens,30.00,1,82,279,5
164,20040613,71,GA/Athens,30.10,1,78,104,7
165,20040614,71,GA/Athens,30.08,1,78,133,5
166,20040615,71,GA/Athens,30.10,1,80,172,3
167,20040616,71,GA/Athens,30.16,0,80,180,3
168,20040617,70,GA/Athens,30.13,1,80,217,5
169,20040618,72,GA/Athens,30.10,1,81,223,6
170,20040619,69,GA/Athens,30.02,0,82,263,6
171,20040620,65,GA/Athens,29.99,0,80,94,5
172,20040621,70,GA/Athens,29.96,1,74,120,5
173,20040622,70,GA/Athens,29.97,1,80,223,4
174,20040623,67,GA/Athens,30.06,1,77,209,8
175,20040624,69,GA/Athens,30.12,1,75,220,6
176,20040625,71,GA/Athens,30.04,1,76,188,4
177,20040626,68,GA/Athens,30.01,0,76,221,7
178,20040627,70,GA/Athens,30.11,1,76,177,4
179,20040628,68,GA/Athens,30.12,1,74,227,6
180,20040629,66,GA/Athens,30.15,0,74,242,4
181,20040630,68,GA/Athens,30.16,1,74,135,2
182,20040701,70,GA/Athens,30.16,1,76,208,3
183,20040702,69,GA/Athens,30.10,1,76,218,3
184,20040703,71,GA/Athens,30.00,1,76,208,4
185,20040704,70,GA/Athens,29.99,1,78,219,4
186,20040705,70,GA/Athens,30.06,0,81,243,5
