,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20060321,13,KARB,30.07,0,26,13,11
1,20060322,23,KARB,30.15,0,30,287,10
2,20060323,22,KARB,30.22,0,34,316,6
3,20060324,24,KARB,30.11,0,30,339,3
4,20060325,30,KARB,30.09,1,34,334,6
5,20060326,25,KARB,30.24,0,35,315,5
6,20060327,24,KARB,30.27,0,34,173,3
7,20060328,36,KARB,30.16,1,41,74,4
8,20060329,32,KARB,30.26,0,40,207,1
9,20060330,32,KARB,30.19,0,44,130,2
10,20060331,48,KARB,29.77,1,54,199,11
11,20060401,40,KARB,29.96,0,48,295,14
12,20060402,39,KARB,29.99,1,46,100,9
13,20060403,43,KARB,29.56,1,44,232,13
14,20060404,25,KARB,29.91,0,37,271,11
15,20060405,28,KARB,29.92,0,40,309,13
16,20060406,32,KARB,29.87,0,46,133,5
17,20060407,43,KARB,29.58,1,44,21,5
18,20060408,22,KARB,30.09,0,36,357,11
19,20060409,,KARB,30.22,0,,-1,
20,20060410,34,KARB,30.20,0,54,166,10
21,20060411,38,KARB,30.14,0,52,175,5
22,20060412,53,KARB,29.92,1,58,232,13
23,20060413,44,KARB,30.04,0,58,245,5
24,20060414,52,KARB,29.66,1,66,205,8
25,20060415,40,KARB,29.71,0,60,345,8
26,20060416,39,KARB,29.83,1,50,67,8
27,20060417,33,KARB,29.92,0,49,50,11
28,20060418,36,KARB,30.05,0,50,67,6
29,20060419,38,KARB,30.00,0,53,89,6
30,20060420,39,KARB,29.97,0,54,113,3
31,20060421,49,KARB,29.89,1,60,161,2
32,20060422,46,KARB,29.85,1,55,271,4
33,20060423,45,KARB,29.83,1,50,285,8
34,20060424,44,KARB,29.89,0,55,299,7
35,20060425,33,KARB,29.98,1,42,2,9
36,20060426,24,KARB,29.98,0,42,263,6
37,20060427,29,KARB,29.97,0,50,328,6
38,20060428,25,KARB,30.30,0,46,76,6
39,20060429,29,KARB,30.32,0,52,87,9
40,20060430,36,KARB,30.19,1,58,94,10
41,20060501,44,KARB,30.17,0,60,145,7
42,20060502,53,KARB,29.93,1,54,4,3
43,20060503,52,KARB,29.97,0,60,293,8
