,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20041231,43,GA/Athens,30.43,0,50,160,1
1,20050101,45,GA/Athens,30.44,0,54,185,1
2,20050102,48,GA/Athens,30.48,0,55,124,2
3,20050103,49,GA/Athens,30.43,0,55,159,1
4,20050104,50,GA/Athens,30.33,0,59,206,1
5,20050105,50,GA/Athens,30.14,0,56,190,4
6,20050106,56,GA/Athens,29.99,1,58,211,8
7,20050107,48,GA/Athens,30.18,0,55,170,4
8,20050108,56,GA/Athens,30.20,1,59,216,8
9,20050109,42,GA/Athens,30.31,0,50,105,4
10,20050110,43,GA/Athens,30.23,0,52,228,3
11,20050111,48,GA/Athens,30.18,0,55,205,2
12,20050112,54,GA/Athens,30.14,0,58,140,4
13,20050113,59,GA/Athens,29.95,1,60,178,8
14,20050114,40,GA/Athens,30.15,1,49,265,10
15,20050115,26,GA/Athens,30.51,0,42,79,8
16,20050116,22,GA/Athens,30.35,0,42,312,9
17,20050117,8,GA/Athens,30.50,0,32,273,10
18,20050118,4,GA/Athens,30.62,0,28,125,5
19,20050119,13,GA/Athens,30.34,0,30,205,4
20,20050120,25,GA/Athens,30.03,0,44,237,7
21,20050121,36,GA/Athens,29.96,0,54,161,5
22,20050122,35,GA/Athens,29.89,1,37,177,8
23,20050123,6,GA/Athens,30.22,0,27,265,15
24,20050124,6,GA/Athens,30.26,0,32,220,5
25,20050125,18,GA/Athens,29.99,0,45,225,6
26,20050126,39,GA/Athens,29.84,0,57,230,8
27,20050127,30,GA/Athens,30.19,0,44,102,10
28,20050128,7,GA/Athens,30.56,1,34,97,14
29,20050129,25,GA/Athens,30.34,1,28,89,11
30,20050130,33,GA/Athens,30.06,0,34,160,1
31,20050131,33,GA/Athens,30.22,0,40,74,6
32,20050201,29,GA/Athens,30.33,1,42,88,7
33,20050202,32,GA/Athens,30.34,1,37,90,10
34,20050203,34,GA/Athens,30.21,1,36,77,8
35,20050204,30,GA/Athens,30.26,0,46,258,3
36,20050205,30,GA/Athens,30.36,0,46,82,4
37,20050206,26,GA/Athens,30.42,0,48,94,7
