,0
0,Monday
1,Cloudy with late night rain. Lows overnight in the low 50s.
2,70
3,Monday Night
4,Partly cloudy skies early then becoming cloudy with periods of rain late. Low around 50F. Winds ENE at 5 to 10 mph. Chance of rain 70%.
5,70
6,Tuesday
7,Becoming partly cloudy after some morning rain. High 57F. Winds S at 15 to 25 mph. Chance of rain 90%.
8,90
9,Tuesday Night
10,Partly cloudy skies early will give way to occasional showers later during the night. Low around 45F. Winds SSE at 10 to 15 mph. Chance of rain 40%.
11,40
12,Wednesday
13,Rain early...then remaining cloudy with showers in the afternoon. High 51F. Winds S at 10 to 15 mph. Chance of rain 90%. Rainfall around a quarter of an inch.
14,90
15,Wednesday Night
16,Overcast with rain showers at times. Low around 40F. Winds S at 5 to 10 mph. Chance of rain 50%.
17,50
18,Thursday
19,Considerable cloudiness with occasional rain showers. High 53F. Winds SSW at 10 to 15 mph. Chance of rain 50%.
20,50
21,Thursday Night
22,Partly cloudy skies early will give way to occasional showers later during the night. Low 43F. Winds S at 5 to 10 mph. Chance of rain 50%.
23,50
24,Friday
25,Cloudy. Some light rain is likely. High 51F. Winds S at 10 to 20 mph. Chance of rain 70%.
26,70
27,Friday Night
28,Rain showers in the evening becoming a steady light rain overnight. Low 47F. Winds S at 10 to 20 mph. Chance of rain 70%.
29,70
30,Saturday
31,Periods of rain. High near 55F. Winds S at 10 to 20 mph. Chance of rain 80%. Rainfall around a quarter of an inch.
32,80
33,Saturday Night
34,A steady rain in the evening. Showers continuing late. Low 44F. Winds S at 10 to 15 mph. Chance of rain 80%.
35,80
36,Sunday
37,Thunderstorms likely in the morning. Then the chance of scattered thunderstorms in the afternoon. High 52F. Winds SSW at 10 to 15 mph. Chance of rain 80%.
38,80
39,Sunday Night
40,Rain showers early with mostly cloudy conditions late. Low 41F. Winds S at 5 to 10 mph. Chance of rain 60%.
41,60
42,Monday
43,Showers early becoming less numerous later in the day. High 54F. Winds S at 5 to 10 mph. Chance of rain 50%.
44,50
45,Monday Night
46,Partly cloudy in the evening with more clouds for later at night. Low around 40F. Winds SSE at 5 to 10 mph.
47,20
48,Tuesday
49,Partly cloudy. High around 55F. Winds S at 5 to 10 mph.
50,20
51,Tuesday Night
52,Partly cloudy skies. Low 43F. Winds light and variable.
53,20
54,Wednesday
55,Mostly cloudy. High 56F. Winds S at 5 to 10 mph.
56,20
57,Wednesday Night
58,Partly cloudy skies. Low 43F. Winds SSE at 5 to 10 mph.
59,20
