,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20150922,33,KTVL,29.96,0,60,198,6
1,20150923,27,KTVL,30.06,0,59,164,4
2,20150924,28,KTVL,30.10,0,62,191,4
3,20150925,33,KTVL,30.05,0,63,190,5
4,20150926,37,KTVL,29.98,0,63,193,5
5,20150927,38,KTVL,29.92,0,63,199,3
6,20150928,36,KTVL,29.99,0,60,196,4
7,20150929,31,KTVL,30.01,0,60,196,4
8,20150930,35,KTVL,30.01,1,58,151,3
9,20151001,42,KTVL,30.02,1,49,184,3
10,20151002,35,KTVL,30.09,0,53,151,5
11,20151003,32,KTVL,29.71,1,50,200,5
12,20151004,40,KTVL,29.73,1,52,22,5
13,20151005,37,KTVL,29.93,0,52,61,3
14,20151006,36,KTVL,30.15,0,53,170,3
15,20151007,37,KTVL,30.25,0,54,169,3
16,20151008,38,KTVL,30.23,0,60,116,3
17,20151009,39,KTVL,30.20,0,60,55,2
18,20151010,33,KTVL,30.11,0,57,202,7
19,20151011,34,KTVL,30.13,0,58,167,3
20,20151012,35,KTVL,30.18,0,58,170,3
21,20151013,34,KTVL,30.22,0,59,172,2
22,20151014,36,KTVL,30.15,0,57,178,2
23,20151015,38,KTVL,30.06,0,58,132,4
24,20151016,44,KTVL,30.04,1,56,196,3
25,20151017,44,KTVL,30.07,1,50,173,2
26,20151018,37,KTVL,29.99,0,46,191,4
27,20151019,31,KTVL,30.02,0,44,167,3
28,20151020,34,KTVL,30.10,0,46,93,5
29,20151021,30,KTVL,30.11,0,46,157,4
30,20151022,30,KTVL,30.09,0,47,182,2
31,20151023,28,KTVL,30.15,0,47,158,3
32,20151024,23,KTVL,30.11,0,48,183,4
33,20151025,25,KTVL,30.04,0,50,193,7
34,20151026,15,KTVL,30.09,0,49,198,6
35,20151027,23,KTVL,30.09,0,48,191,3
36,20151028,37,KTVL,30.03,1,49,189,5
37,20151029,30,KTVL,30.08,0,43,14,3
38,20151030,27,KTVL,30.19,0,46,187,3
39,20151031,30,KTVL,30.20,1,50,187,7
40,20151101,29,KTVL,30.05,1,53,184,11
41,20151102,34,KTVL,29.75,1,43,192,3
42,20151103,28,KTVL,29.83,0,36,100,1
43,20151104,19,KTVL,30.03,0,28,86,4
44,20151105,20,KTVL,30.24,0,32,179,3
45,20151106,21,KTVL,30.33,0,36,181,3
46,20151107,24,KTVL,30.19,0,39,177,4
47,20151108,27,KTVL,29.90,1,41,195,9
48,20151109,25,KTVL,29.84,0,29,191,7
49,20151110,22,KTVL,30.11,0,31,177,2
50,20151111,15,KTVL,30.38,0,31,189,3
51,20151112,21,KTVL,30.28,0,34,177,2
52,20151113,22,KTVL,30.20,0,38,176,3
53,20151114,19,KTVL,29.96,0,42,197,5
54,20151115,23,KTVL,29.71,0,37,195,13
55,20151116,9,KTVL,30.16,0,24,29,7
56,20151117,21,KTVL,30.35,0,35,185,2
57,20151118,20,KTVL,30.24,0,42,185,2
58,20151119,27,KTVL,30.23,0,43,174,3
59,20151120,29,KTVL,30.24,0,41,173,4
60,20151121,28,KTVL,30.22,0,42,186,2
61,20151122,29,KTVL,30.13,0,41,174,2
62,20151123,24,KTVL,29.93,0,42,197,5
63,20151124,22,KTVL,29.70,1,34,193,15
64,20151125,17,KTVL,29.79,0,23,137,4
65,20151126,13,KTVL,30.07,0,18,143,5
66,20151127,12,KTVL,30.10,0,20,53,3
67,20151128,5,KTVL,30.22,0,16,174,2
68,20151129,5,KTVL,30.26,0,20,181,3
69,20151130,16,KTVL,30.20,0,23,189,4
70,20151201,21,KTVL,30.26,0,29,186,3
71,20151202,28,KTVL,30.20,0,39,194,3
72,20151203,27,KTVL,29.96,1,43,190,14
73,20151204,22,KTVL,30.12,0,27,193,7
74,20151205,14,KTVL,30.33,0,30,169,5
75,20151206,14,KTVL,30.23,0,41,198,11
76,20151207,32,KTVL,30.27,1,44,199,7
77,20151208,28,KTVL,30.23,0,46,171,3
78,20151209,21,KTVL,30.01,0,45,193,11
79,20151210,28,KTVL,29.75,1,41,197,13
80,20151211,22,KTVL,29.74,0,26,183,4
81,20151212,19,KTVL,30.08,0,26,188,5
82,20151213,25,KTVL,29.76,1,32,190,13
83,20151214,15,KTVL,29.95,0,18,72,2
84,20151215,12,KTVL,30.08,0,22,193,3
85,20151216,20,KTVL,30.14,0,28,193,2
86,20151217,27,KTVL,30.17,0,29,198,8
87,20151218,15,KTVL,29.95,0,34,192,13
88,20151219,26,KTVL,29.86,0,26,187,8
89,20151220,23,KTVL,30.07,0,22,173,10
90,20151221,31,KTVL,29.90,1,36,178,12
91,20151222,31,KTVL,29.66,1,38,177,11
92,20151223,19,KTVL,29.79,0,26,187,9
93,20151224,16,KTVL,29.73,0,16,193,8
94,20151225,8,KTVL,30.00,0,13,96,4
95,20151226,7,KTVL,30.38,0,18,93,2
96,20151227,16,KTVL,30.08,0,29,190,5
97,20151228,20,KTVL,29.85,0,26,46,5
98,20151229,14,KTVL,29.94,0,26,165,2
99,20151230,16,KTVL,30.10,0,26,170,6
100,20151231,5,KTVL,30.28,0,13,167,4
101,20160101,-1,KTVL,30.29,0,8,185,3
102,20160102,13,KTVL,30.10,0,21,191,3
103,20160103,23,KTVL,29.89,0,35,10,2
104,20160104,23,KTVL,29.77,0,32,198,4
105,20160105,29,KTVL,29.63,1,30,192,5
106,20160106,23,KTVL,29.64,0,25,187,4
107,20160107,17,KTVL,29.84,0,23,176,3
108,20160108,13,KTVL,30.07,0,21,183,2
109,20160109,26,KTVL,30.06,0,30,192,5
110,20160110,20,KTVL,30.16,0,25,186,1
111,20160111,16,KTVL,30.40,0,27,177,2
112,20160112,15,KTVL,30.29,0,27,179,4
113,20160113,25,KTVL,29.99,1,35,197,18
114,20160114,23,KTVL,29.96,0,29,197,10
115,20160115,25,KTVL,30.00,0,27,172,3
116,20160116,31,KTVL,30.14,1,34,191,10
117,20160117,26,KTVL,30.11,1,33,178,8
118,20160118,30,KTVL,30.10,1,35,194,5
119,20160119,30,KTVL,30.00,1,34,197,12
120,20160120,19,KTVL,30.26,0,36,187,5
121,20160121,19,KTVL,30.23,0,37,185,5
122,20160122,30,KTVL,30.02,1,40,191,14
123,20160123,27,KTVL,29.94,1,34,191,12
124,20160124,23,KTVL,30.15,0,28,184,4
125,20160125,21,KTVL,30.22,0,29,182,2
126,20160126,18,KTVL,30.42,0,29,158,1
127,20160127,21,KTVL,30.41,0,35,132,2
128,20160128,26,KTVL,30.30,1,34,196,6
129,20160129,37,KTVL,30.02,1,43,191,12
130,20160130,27,KTVL,29.89,1,35,190,8
131,20160131,21,KTVL,29.67,0,25,51,4
132,20160201,8,KTVL,30.09,0,16,45,2
133,20160202,15,KTVL,30.14,0,20,186,4
134,20160203,17,KTVL,30.36,0,23,187,6
135,20160204,21,KTVL,30.43,0,30,191,2
136,20160205,19,KTVL,30.51,0,29,154,3
137,20160206,22,KTVL,30.48,0,32,88,3
138,20160207,21,KTVL,30.52,0,37,185,4
139,20160208,23,KTVL,30.51,0,39,181,2
140,20160209,24,KTVL,30.45,0,35,136,3
141,20160210,25,KTVL,30.41,0,37,110,2
142,20160211,26,KTVL,30.35,0,38,88,3
143,20160212,25,KTVL,30.32,0,41,143,3
144,20160213,22,KTVL,30.33,0,40,73,2
145,20160214,28,KTVL,30.37,0,40,114,4
146,20160215,30,KTVL,30.33,0,41,177,2
147,20160216,28,KTVL,30.11,0,40,81,3
148,20160217,30,KTVL,29.61,1,41,198,16
149,20160218,23,KTVL,29.78,1,27,195,11
150,20160219,16,KTVL,30.03,0,29,192,11
151,20160220,22,KTVL,30.19,0,33,86,3
152,20160221,18,KTVL,30.26,0,36,194,4
153,20160222,15,KTVL,30.24,0,36,163,3
154,20160223,21,KTVL,30.18,0,36,148,3
155,20160224,27,KTVL,30.23,0,41,161,3
156,20160225,27,KTVL,30.25,0,41,94,2
157,20160226,24,KTVL,30.18,0,44,173,7
158,20160227,23,KTVL,30.14,0,43,188,7
159,20160228,23,KTVL,30.20,0,43,197,7
160,20160229,21,KTVL,30.22,0,40,205,4
161,20160301,26,KTVL,30.15,0,43,184,11
162,20160302,17,KTVL,30.09,0,44,182,9
163,20160303,24,KTVL,30.05,1,47,174,10
164,20160304,37,KTVL,30.01,1,43,181,4
165,20160305,35,KTVL,29.81,1,42,191,13
166,20160306,26,KTVL,29.78,1,31,186,10
167,20160307,28,KTVL,29.71,0,32,40,6
168,20160308,23,KTVL,29.99,0,27,190,6
169,20160309,35,KTVL,30.06,1,38,185,8
170,20160310,31,KTVL,29.96,1,45,185,20
171,20160311,28,KTVL,29.73,1,38,192,16
172,20160312,28,KTVL,29.99,1,36,187,15
173,20160313,30,KTVL,29.93,1,36,192,16
174,20160314,26,KTVL,30.00,1,37,200,9
175,20160315,22,KTVL,30.20,0,37,72,2
176,20160316,27,KTVL,30.16,0,41,143,3
177,20160317,27,KTVL,30.07,0,43,153,3
178,20160318,29,KTVL,30.05,0,45,169,2
179,20160319,27,KTVL,30.07,0,43,158,3
180,20160320,34,KTVL,30.02,1,43,201,12
181,20160321,30,KTVL,29.95,1,36,193,13
182,20160322,21,KTVL,30.02,0,29,185,4
183,20160323,22,KTVL,30.32,0,33,95,3
184,20160324,25,KTVL,30.21,0,41,164,3
185,20160325,23,KTVL,30.04,0,42,133,3
186,20160326,27,KTVL,30.01,0,40,142,4
187,20160327,29,KTVL,29.98,0,44,192,9
188,20160328,22,KTVL,29.73,0,32,62,10
189,20160329,23,KTVL,29.82,0,31,119,5
190,20160330,27,KTVL,29.96,1,36,38,4
191,20160331,27,KTVL,30.09,0,41,105,4
192,20160401,29,KTVL,30.17,0,45,104,4
193,20160402,33,KTVL,30.19,0,45,183,4
194,20160403,31,KTVL,30.14,0,45,190,4
195,20160404,26,KTVL,30.19,0,47,192,4
196,20160405,25,KTVL,30.34,0,44,122,4
197,20160406,26,KTVL,30.34,0,47,100,3
198,20160407,30,KTVL,30.04,0,49,167,4
199,20160408,37,KTVL,29.86,0,48,167,4
200,20160409,37,KTVL,29.88,1,41,179,4
201,20160410,38,KTVL,29.88,1,42,78,1
202,20160411,38,KTVL,30.05,0,46,154,5
203,20160412,35,KTVL,30.12,0,44,192,8
204,20160413,25,KTVL,30.04,0,43,192,9
205,20160414,22,KTVL,29.96,0,36,197,11
206,20160415,18,KTVL,30.11,0,38,28,8
207,20160416,16,KTVL,30.23,0,44,120,5
208,20160417,20,KTVL,30.22,0,45,119,4
209,20160418,26,KTVL,30.20,0,48,102,4
