,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20080815,65,KPHF,29.97,1,76,254,9
1,20080816,63,KPHF,30.00,0,75,12,4
2,20080817,62,KPHF,30.02,0,75,143,3
3,20080818,63,KPHF,30.00,0,78,208,6
4,20080819,66,KPHF,29.98,0,81,211,7
5,20080820,65,KPHF,30.13,0,75,71,8
6,20080821,60,KPHF,30.23,0,72,82,5
7,20080822,63,KPHF,30.27,0,71,72,6
8,20080823,65,KPHF,30.22,0,74,89,4
9,20080824,64,KPHF,30.05,0,75,113,3
10,20080825,67,KPHF,29.92,0,83,220,9
11,20080826,65,KPHF,29.99,0,76,54,8
12,20080827,63,KPHF,29.99,1,73,88,10
13,20080828,70,KPHF,29.91,1,76,110,11
14,20080829,72,KPHF,29.91,1,80,109,8
15,20080830,71,KPHF,30.00,0,80,11,2
16,20080831,66,KPHF,30.10,0,74,64,2
17,20080901,57,KPHF,30.15,0,72,48,1
18,20080902,57,KPHF,30.05,0,74,59,2
19,20080903,60,KPHF,29.93,0,78,265,2
20,20080904,64,KPHF,29.98,0,80,184,4
21,20080905,69,KPHF,29.98,1,74,95,3
22,20080906,73,KPHF,29.62,1,77,144,13
23,20080907,66,KPHF,30.00,0,76,37,2
24,20080908,64,KPHF,30.13,0,75,112,1
25,20080909,70,KPHF,30.04,0,78,222,6
26,20080910,67,KPHF,30.15,1,72,26,6
27,20080911,66,KPHF,30.25,1,74,71,8
28,20080912,68,KPHF,30.12,1,76,184,5
29,20080913,71,KPHF,29.97,0,83,230,8
30,20080914,71,KPHF,29.85,0,84,226,10
31,20080915,68,KPHF,29.87,0,82,295,12
32,20080916,61,KPHF,30.08,1,70,14,8
33,20080917,55,KPHF,30.13,0,66,12,6
34,20080918,54,KPHF,30.15,0,68,33,5
35,20080919,54,KPHF,30.29,0,68,54,13
36,20080920,57,KPHF,30.22,0,68,20,9
37,20080921,57,KPHF,30.22,0,68,28,5
38,20080922,59,KPHF,30.27,0,70,36,5
39,20080923,56,KPHF,30.33,1,68,43,13
40,20080924,50,KPHF,30.28,0,68,45,15
41,20080925,62,KPHF,30.04,1,66,36,18
42,20080926,69,KPHF,29.95,1,74,77,11
43,20080927,68,KPHF,29.92,1,74,79,2
44,20080928,66,KPHF,29.89,1,71,283,1
45,20080929,62,KPHF,29.97,0,72,339,6
46,20080930,63,KPHF,29.87,1,70,212,4
47,20081001,59,KPHF,29.71,1,66,278,6
48,20081002,46,KPHF,29.84,0,60,290,6
49,20081003,48,KPHF,30.01,0,62,241,3
50,20081004,52,KPHF,30.16,0,64,197,1
51,20081005,56,KPHF,30.23,0,68,211,2
52,20081006,55,KPHF,30.24,0,64,44,2
53,20081007,46,KPHF,30.32,0,58,41,7
54,20081008,50,KPHF,30.15,0,60,171,2
55,20081009,62,KPHF,30.03,0,72,212,5
56,20081010,62,KPHF,30.16,0,70,54,5
57,20081011,56,KPHF,30.34,0,68,51,8
58,20081012,56,KPHF,30.45,0,64,59,7
59,20081013,53,KPHF,30.41,0,64,301,1
60,20081014,54,KPHF,30.21,0,68,204,1
61,20081015,59,KPHF,30.10,0,70,115,3
62,20081016,60,KPHF,30.00,0,72,246,2
63,20081017,52,KPHF,30.06,1,62,23,8
64,20081018,48,KPHF,30.06,1,56,10,10
65,20081019,39,KPHF,30.22,0,53,4,12
66,20081020,36,KPHF,30.24,0,52,329,4
67,20081021,40,KPHF,30.07,0,58,279,7
68,20081022,33,KPHF,30.30,0,52,351,10
69,20081023,41,KPHF,30.54,0,50,33,8
70,20081024,49,KPHF,30.36,0,56,100,8
71,20081025,63,KPHF,29.87,1,68,172,9
72,20081026,46,KPHF,29.95,0,56,233,2
73,20081027,41,KPHF,29.93,1,52,323,8
74,20081028,33,KPHF,29.87,1,50,286,13
