,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20070825,70,RKTT,30.00,0,86,-1,2
1,20070826,73,RKTT,29.97,1,86,-1,3
2,20070827,74,RKTT,29.90,1,82,-1,2
3,20070828,73,RKTT,29.83,1,82,-1,3
4,20070829,69,RKTT,29.78,1,72,-1,6
5,20070830,65,RKTT,29.76,1,69,-1,4
6,20070831,65,RKTT,29.83,1,70,-1,2
7,20070901,65,RKTT,29.78,1,66,-1,3
8,20070902,66,RKTT,29.69,1,68,-1,2
9,20070903,66,RKTT,29.81,0,74,-1,5
10,20070904,65,RKTT,29.89,1,71,-1,3
11,20070905,65,RKTT,29.83,1,68,-1,2
12,20070906,65,RKTT,29.72,1,68,-1,5
13,20070907,65,RKTT,29.67,1,71,-1,2
14,20070908,62,RKTT,29.73,1,75,-1,3
15,20070909,59,RKTT,29.80,0,74,-1,3
16,20070910,61,RKTT,29.89,0,74,-1,2
17,20070911,60,RKTT,29.89,0,76,-1,1
18,20070912,63,RKTT,29.91,0,74,-1,3
19,20070913,62,RKTT,29.95,0,74,-1,4
20,20070914,67,RKTT,29.90,1,70,-1,4
21,20070915,68,RKTT,29.76,1,70,-1,5
22,20070916,66,RKTT,29.75,1,70,-1,7
23,20070917,66,RKTT,29.88,1,72,-1,4
24,20070918,66,RKTT,30.01,1,72,-1,7
25,20070919,70,RKTT,29.91,0,80,-1,3
26,20070920,70,RKTT,29.92,0,82,-1,4
27,20070921,70,RKTT,29.93,1,85,-1,3
28,20070922,66,RKTT,30.09,1,76,-1,6
29,20070923,62,RKTT,30.14,1,68,-1,3
30,20070924,63,RKTT,30.05,1,68,-1,2
31,20070925,63,RKTT,30.01,0,72,-1,2
32,20070926,60,RKTT,30.03,0,70,-1,3
33,20070927,63,RKTT,29.92,0,75,-1,3
34,20070928,62,RKTT,29.97,1,72,-1,3
35,20070929,58,RKTT,30.16,0,68,-1,3
36,20070930,58,RKTT,30.11,1,66,-1,2
37,20071001,57,RKTT,30.02,0,70,-1,2
38,20071002,59,RKTT,30.04,0,70,-1,3
39,20071003,61,RKTT,30.08,0,70,-1,3
40,20071004,64,RKTT,30.05,1,70,-1,2
41,20071005,57,RKTT,30.06,0,70,-1,5
42,20071006,55,RKTT,30.04,0,68,-1,3
43,20071007,60,RKTT,29.93,1,67,-1,2
44,20071008,56,RKTT,29.89,1,68,-1,2
45,20071009,48,RKTT,29.97,0,64,-1,4
46,20071010,54,RKTT,30.03,0,64,-1,3
47,20071011,50,RKTT,30.06,0,64,-1,2
48,20071012,48,RKTT,30.16,0,64,-1,2
49,20071013,52,RKTT,30.20,0,64,-1,2
50,20071014,52,RKTT,30.13,0,66,-1,3
51,20071015,51,RKTT,30.20,0,60,-1,3
52,20071016,50,RKTT,30.18,0,61,-1,3
53,20071017,46,RKTT,30.17,0,60,-1,2
54,20071018,49,RKTT,30.17,0,58,-1,2
55,20071019,45,RKTT,29.99,1,60,-1,5
56,20071020,28,RKTT,30.07,0,51,-1,7
57,20071021,35,RKTT,30.13,0,56,-1,4
58,20071022,44,RKTT,30.12,0,57,-1,2
59,20071023,49,RKTT,30.24,0,60,-1,2
60,20071024,52,RKTT,30.31,0,62,-1,3
61,20071025,55,RKTT,30.21,1,60,-1,2
62,20071026,57,RKTT,30.05,1,62,-1,3
63,20071027,48,RKTT,30.05,0,59,-1,2
64,20071028,48,RKTT,30.01,0,56,-1,3
65,20071029,42,RKTT,30.10,0,58,-1,6
66,20071030,39,RKTT,30.25,0,58,-1,1
67,20071031,40,RKTT,30.23,0,53,-1,3
68,20071101,33,RKTT,30.13,0,55,-1,5
69,20071102,32,RKTT,30.17,0,51,-1,4
70,20071103,36,RKTT,30.26,0,51,-1,2
71,20071104,41,RKTT,30.37,0,52,-1,3
72,20071105,47,RKTT,30.32,0,54,-1,2
73,20071106,48,RKTT,30.24,0,56,-1,1
74,20071107,41,RKTT,30.19,0,55,-1,1
75,20071108,42,RKTT,30.15,0,54,-1,2
76,20071109,47,RKTT,30.16,0,56,-1,2
77,20071110,38,RKTT,30.11,0,55,-1,4
78,20071111,33,RKTT,30.11,0,52,-1,5
79,20071112,33,RKTT,30.13,0,51,-1,4
80,20071113,33,RKTT,30.14,0,51,-1,3
81,20071114,39,RKTT,30.17,0,53,-1,2
82,20071115,41,RKTT,30.24,0,52,-1,2
83,20071116,26,RKTT,30.21,0,50,-1,4
84,20071117,26,RKTT,30.04,0,46,-1,5
85,20071118,7,RKTT,30.21,0,43,-1,7
86,20071119,8,RKTT,30.34,0,35,-1,3
