,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20120621,66,KBOS,29.79,0,88,287,9
1,20120622,65,KBOS,29.73,1,85,276,10
2,20120623,63,KBOS,29.82,1,73,355,8
3,20120624,53,KBOS,29.90,0,74,278,11
4,20120625,61,KBOS,29.72,1,67,204,10
5,20120626,55,KBOS,29.58,1,67,306,13
6,20120627,52,KBOS,29.63,0,69,274,14
7,20120628,56,KBOS,29.72,0,74,248,10
8,20120629,63,KBOS,29.63,1,78,215,8
9,20120630,54,KBOS,29.67,0,80,259,13
10,20120701,60,KBOS,29.76,0,81,267,9
11,20120702,59,KBOS,29.85,0,77,323,8
12,20120703,55,KBOS,29.88,0,77,320,9
13,20120704,67,KBOS,29.75,1,76,207,8
14,20120705,63,KBOS,29.75,0,77,342,9
15,20120706,63,KBOS,29.86,0,74,147,8
16,20120707,65,KBOS,29.77,1,80,275,10
17,20120708,59,KBOS,29.80,0,80,316,9
18,20120709,49,KBOS,29.92,0,76,326,8
19,20120710,50,KBOS,30.03,0,74,71,7
20,20120711,59,KBOS,30.15,0,73,152,8
21,20120712,59,KBOS,30.15,0,75,191,11
22,20120713,60,KBOS,30.15,0,80,209,11
23,20120714,61,KBOS,30.10,0,82,252,11
24,20120715,66,KBOS,30.00,1,82,217,9
25,20120716,68,KBOS,29.79,0,80,235,10
26,20120717,65,KBOS,29.71,0,87,235,12
27,20120718,69,KBOS,29.81,1,80,120,8
28,20120719,59,KBOS,29.96,1,70,75,8
29,20120720,58,KBOS,30.06,0,68,72,7
30,20120721,57,KBOS,30.10,0,68,118,7
31,20120722,57,KBOS,30.11,0,73,207,11
32,20120723,65,KBOS,29.96,1,76,210,11
33,20120724,67,KBOS,29.62,1,80,242,10
34,20120725,53,KBOS,29.77,0,74,322,11
35,20120726,64,KBOS,29.68,1,75,208,8
36,20120727,65,KBOS,29.76,1,72,96,6
37,20120728,64,KBOS,29.97,1,68,67,7
38,20120729,63,KBOS,30.00,1,69,30,9
39,20120730,61,KBOS,30.10,0,72,198,8
40,20120731,63,KBOS,30.07,1,68,140,9
41,20120801,66,KBOS,29.88,1,73,231,8
42,20120802,69,KBOS,29.85,0,77,184,8
43,20120803,68,KBOS,29.97,0,82,233,12
44,20120804,70,KBOS,30.18,0,78,135,7
45,20120805,72,KBOS,30.09,1,80,199,13
46,20120806,61,KBOS,29.94,0,78,278,10
47,20120807,60,KBOS,29.99,0,72,124,8
48,20120808,65,KBOS,29.97,0,75,190,8
49,20120809,68,KBOS,29.93,0,76,185,10
50,20120810,70,KBOS,29.88,1,77,141,9
51,20120811,69,KBOS,29.88,0,76,127,8
52,20120812,71,KBOS,29.90,1,78,192,10
53,20120813,62,KBOS,29.91,0,79,263,8
54,20120814,61,KBOS,29.92,0,77,260,7
55,20120815,67,KBOS,29.89,1,75,190,8
56,20120816,62,KBOS,29.83,1,76,312,8
57,20120817,62,KBOS,29.81,1,76,241,10
58,20120818,61,KBOS,29.86,1,68,248,6
59,20120819,57,KBOS,29.93,0,67,34,6
60,20120820,59,KBOS,29.90,0,69,149,7
61,20120821,56,KBOS,29.98,0,75,261,8
62,20120822,58,KBOS,30.11,0,72,159,7
63,20120823,61,KBOS,30.11,0,77,240,9
64,20120824,64,KBOS,30.17,0,73,69,6
