,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20120825,69,KPHF,30.08,1,76,48,12
1,20120826,70,KPHF,30.15,1,76,142,3
2,20120827,71,KPHF,30.11,1,78,199,1
3,20120828,71,KPHF,29.94,1,81,206,10
4,20120829,68,KPHF,29.95,0,76,54,3
5,20120830,68,KPHF,30.08,1,78,183,2
6,20120831,71,KPHF,30.11,0,82,235,8
7,20120901,72,KPHF,30.04,0,82,265,6
8,20120902,71,KPHF,30.01,1,79,21,4
9,20120903,71,KPHF,30.03,1,76,172,2
10,20120904,72,KPHF,29.99,0,81,206,6
11,20120905,71,KPHF,29.89,0,80,222,12
12,20120906,70,KPHF,29.90,1,76,231,9
13,20120907,69,KPHF,29.94,0,75,101,3
14,20120908,70,KPHF,29.79,1,76,214,9
15,20120909,60,KPHF,29.87,1,70,349,5
