,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20120910,49,KPWK,30.17,0,63,173,4
1,20120911,51,KPWK,30.11,0,68,191,11
2,20120912,56,KPWK,30.12,0,75,197,8
3,20120913,52,KPWK,30.28,1,63,344,7
4,20120914,46,KPWK,30.32,0,63,314,4
5,20120915,48,KPWK,30.24,0,65,99,2
6,20120916,47,KPWK,30.07,0,63,214,3
7,20120917,55,KPWK,29.85,1,65,282,7
8,20120918,40,KPWK,29.92,1,52,327,10
9,20120919,39,KPWK,29.96,0,56,196,14
10,20120920,38,KPWK,29.89,0,61,276,6
11,20120921,45,KPWK,29.89,1,53,283,4
12,20120922,40,KPWK,29.98,1,52,298,10
13,20120923,34,KPWK,30.24,0,50,309,5
14,20120924,33,KPWK,30.08,0,52,216,9
15,20120925,50,KPWK,29.87,0,62,200,6
16,20120926,50,KPWK,30.05,0,59,21,7
17,20120927,45,KPWK,30.20,0,54,359,7
18,20120928,48,KPWK,30.17,0,56,12,7
19,20120929,45,KPWK,30.07,0,62,337,4
20,20120930,46,KPWK,30.00,0,56,26,6
21,20121001,46,KPWK,29.91,0,56,93,2
22,20121002,50,KPWK,29.89,0,59,16,7
23,20121003,59,KPWK,29.96,1,62,210,4
24,20121004,52,KPWK,30.04,1,63,222,9
25,20121005,29,KPWK,30.12,0,46,274,8
26,20121006,27,KPWK,30.15,0,43,298,9
27,20121007,24,KPWK,30.18,0,43,283,6
28,20121008,28,KPWK,30.11,0,45,197,10
29,20121009,38,KPWK,29.91,1,54,226,12
30,20121010,30,KPWK,30.09,0,42,282,8
31,20121011,33,KPWK,30.14,1,50,214,10
32,20121012,33,KPWK,30.39,0,44,53,5
33,20121013,52,KPWK,29.96,1,54,189,10
34,20121014,57,KPWK,29.61,1,59,213,13
35,20121015,40,KPWK,29.90,0,49,316,7
36,20121016,44,KPWK,29.75,0,54,170,12
37,20121017,53,KPWK,29.42,1,62,187,14
38,20121018,41,KPWK,29.45,1,50,205,12
39,20121019,42,KPWK,29.51,1,48,211,5
40,20121020,40,KPWK,29.81,0,49,266,5
41,20121021,45,KPWK,30.01,0,51,169,4
42,20121022,58,KPWK,29.94,1,57,183,5
43,20121023,59,KPWK,29.92,1,62,133,5
44,20121024,61,KPWK,29.90,0,68,183,11
45,20121025,55,KPWK,29.81,1,59,224,16
46,20121026,29,KPWK,30.29,0,43,340,8
47,20121027,27,KPWK,30.32,0,40,355,9
48,20121028,30,KPWK,30.30,0,43,2,10
49,20121029,30,KPWK,30.25,0,43,353,11
50,20121030,26,KPWK,29.89,0,43,344,16
51,20121031,27,KPWK,29.84,0,42,325,11
52,20121101,24,KPWK,29.88,0,44,320,8
