,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20090702,61,KPHF,29.82,0,80,266,6
1,20090703,57,KPHF,29.94,0,74,325,6
2,20090704,57,KPHF,29.97,0,76,260,4
3,20090705,63,KPHF,29.89,1,73,87,5
4,20090706,65,KPHF,29.79,1,74,349,3
5,20090707,60,KPHF,29.80,0,75,218,1
6,20090708,59,KPHF,29.90,0,76,43,8
7,20090709,59,KPHF,30.11,0,73,81,6
8,20090710,59,KPHF,30.27,0,70,66,4
9,20090711,59,KPHF,30.19,0,73,208,3
10,20090712,67,KPHF,29.97,1,82,214,8
11,20090713,69,KPHF,29.91,1,78,150,2
12,20090714,58,KPHF,30.06,0,72,16,6
13,20090715,55,KPHF,30.13,0,72,183,3
14,20090716,67,KPHF,29.91,0,82,227,12
15,20090717,71,KPHF,29.79,1,83,220,8
16,20090718,65,KPHF,29.87,0,78,274,8
17,20090719,61,KPHF,30.08,0,74,58,4
18,20090720,65,KPHF,30.08,1,76,88,6
19,20090721,66,KPHF,30.08,0,78,262,3
20,20090722,67,KPHF,30.10,0,78,126,4
21,20090723,70,KPHF,29.92,1,80,133,4
22,20090724,67,KPHF,29.90,0,79,83,8
23,20090725,67,KPHF,29.95,0,81,212,5
24,20090726,69,KPHF,29.93,1,85,220,11
25,20090727,69,KPHF,29.98,1,82,201,7
26,20090728,70,KPHF,29.96,0,82,208,7
27,20090729,71,KPHF,29.89,1,83,208,12
28,20090730,70,KPHF,29.92,1,82,230,11
29,20090731,71,KPHF,29.97,1,85,234,12
30,20090801,72,KPHF,30.06,1,80,194,4
31,20090802,72,KPHF,29.93,1,81,222,12
32,20090803,72,KPHF,29.99,1,81,151,6
33,20090804,70,KPHF,29.98,0,82,197,4
34,20090805,69,KPHF,29.95,1,82,220,8
35,20090806,69,KPHF,29.96,1,76,313,5
36,20090807,62,KPHF,30.12,0,75,346,3
37,20090808,68,KPHF,30.19,1,76,193,5
38,20090809,70,KPHF,30.11,0,84,238,8
39,20090810,70,KPHF,30.00,1,86,248,6
40,20090811,71,KPHF,29.91,0,86,273,7
41,20090812,71,KPHF,29.93,1,82,232,4
42,20090813,71,KPHF,30.04,0,78,316,4
43,20090814,70,KPHF,30.16,1,76,52,4
44,20090815,70,KPHF,30.17,1,77,77,3
45,20090816,67,KPHF,30.18,1,77,58,1
46,20090817,65,KPHF,30.19,0,79,151,2
47,20090818,71,KPHF,30.10,0,84,222,8
48,20090819,72,KPHF,30.02,0,85,224,10
49,20090820,73,KPHF,29.98,0,84,213,9
50,20090821,73,KPHF,29.94,0,84,203,12
51,20090822,72,KPHF,29.80,1,81,304,7
52,20090823,68,KPHF,29.88,0,76,149,3
53,20090824,71,KPHF,30.02,1,79,19,2
54,20090825,68,KPHF,30.11,1,80,34,3
55,20090826,69,KPHF,30.08,1,81,231,2
56,20090827,70,KPHF,30.05,0,84,221,6
57,20090828,71,KPHF,30.00,1,82,175,6
58,20090829,71,KPHF,29.78,1,82,295,4
59,20090830,70,KPHF,29.91,1,78,306,6
60,20090831,64,KPHF,30.08,1,70,23,3
61,20090901,56,KPHF,30.19,0,70,19,7
62,20090902,57,KPHF,30.20,0,70,37,8
63,20090903,62,KPHF,30.05,1,73,12,9
64,20090904,60,KPHF,30.01,1,75,349,6
65,20090905,59,KPHF,30.14,1,73,47,1
66,20090906,64,KPHF,30.21,1,73,68,4
67,20090907,68,KPHF,30.10,1,74,51,8
68,20090908,67,KPHF,29.98,1,72,45,8
69,20090909,62,KPHF,30.08,1,72,11,6
70,20090910,62,KPHF,30.15,1,68,16,10
71,20090911,59,KPHF,30.06,1,70,304,11
72,20090912,60,KPHF,29.98,1,70,342,3
73,20090913,61,KPHF,29.96,1,73,336,6
74,20090914,62,KPHF,29.98,1,72,49,1
75,20090915,63,KPHF,29.99,0,76,223,4
76,20090916,66,KPHF,30.04,1,74,62,6
77,20090917,63,KPHF,30.12,1,72,66,8
78,20090918,61,KPHF,30.11,1,70,213,2
79,20090919,60,KPHF,30.16,1,66,46,1
80,20090920,54,KPHF,30.29,1,64,58,2
81,20090921,62,KPHF,30.25,1,69,76,4
82,20090922,67,KPHF,30.21,0,76,85,5
83,20090923,70,KPHF,30.17,1,78,204,3
84,20090924,70,KPHF,30.06,1,81,243,6
85,20090925,64,KPHF,30.12,1,70,43,5
86,20090926,57,KPHF,30.12,1,70,100,10
87,20090927,63,KPHF,29.72,1,75,230,10
88,20090928,56,KPHF,29.68,1,70,235,3
89,20090929,43,KPHF,29.76,0,65,277,9
90,20090930,48,KPHF,29.93,1,66,326,6
91,20091001,50,KPHF,30.03,1,62,56,3
92,20091002,53,KPHF,29.97,1,65,186,2
93,20091003,61,KPHF,29.86,1,72,219,5
94,20091004,52,KPHF,29.92,1,68,270,1
95,20091005,50,KPHF,30.03,1,66,255,4
96,20091006,55,KPHF,29.96,1,63,120,2
97,20091007,56,KPHF,29.78,1,72,253,14
98,20091008,43,KPHF,30.14,0,63,329,6
99,20091009,59,KPHF,29.95,0,73,215,12
100,20091010,63,KPHF,29.92,1,72,280,12
101,20091011,46,KPHF,30.22,1,61,26,6
102,20091012,51,KPHF,30.24,1,57,35,3
103,20091013,52,KPHF,30.10,0,66,325,5
104,20091014,41,KPHF,30.16,0,57,27,9
105,20091015,54,KPHF,29.81,1,60,25,8
106,20091016,48,KPHF,29.80,1,52,348,9
107,20091017,43,KPHF,29.92,1,48,326,11
108,20091018,41,KPHF,30.01,1,48,336,12
109,20091019,36,KPHF,30.22,1,51,337,8
110,20091020,40,KPHF,30.23,1,55,214,2
111,20091021,46,KPHF,30.21,0,64,224,4
112,20091022,47,KPHF,30.09,0,66,220,7
113,20091023,57,KPHF,29.99,1,70,191,7
114,20091024,61,KPHF,29.78,1,78,205,13
115,20091025,44,KPHF,30.06,1,58,356,10
116,20091026,48,KPHF,30.21,1,56,43,13
117,20091027,54,KPHF,30.02,1,62,5,12
118,20091028,60,KPHF,29.86,1,68,252,9
119,20091029,53,KPHF,30.21,1,58,31,6
120,20091030,53,KPHF,30.19,0,60,67,5
121,20091031,64,KPHF,29.97,1,70,198,6
122,20091101,52,KPHF,30.05,1,62,22,10
123,20091102,50,KPHF,30.11,1,57,11,8
124,20091103,46,KPHF,30.13,1,55,312,2
125,20091104,39,KPHF,30.28,1,52,56,6
126,20091105,40,KPHF,30.16,1,53,327,3
127,20091106,30,KPHF,30.31,1,46,350,6
128,20091107,35,KPHF,30.28,1,49,200,5
129,20091108,44,KPHF,30.28,1,60,217,6
130,20091109,48,KPHF,30.38,1,60,181,1
131,20091110,56,KPHF,30.22,1,63,43,1
132,20091111,52,KPHF,30.05,1,56,41,17
133,20091112,51,KPHF,29.73,1,54,31,22
