,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20100625,54,RKTT,29.83,1,76,-1,5
1,20100626,66,RKTT,29.75,1,71,-1,5
2,20100627,68,RKTT,29.74,1,78,-1,5
3,20100628,67,RKTT,29.75,1,76,-1,5
4,20100629,66,RKTT,29.72,0,80,-1,3
5,20100630,68,RKTT,29.68,1,81,-1,4
6,20100701,69,RKTT,29.66,0,80,-1,5
7,20100702,70,RKTT,29.60,1,78,-1,4
8,20100703,73,RKTT,29.47,1,82,-1,4
9,20100704,69,RKTT,29.54,1,76,-1,7
10,20100705,69,RKTT,29.47,0,81,-1,4
11,20100706,63,RKTT,29.52,0,84,-1,5
12,20100707,61,RKTT,29.64,0,82,-1,5
13,20100708,66,RKTT,29.80,1,78,-1,6
14,20100709,63,RKTT,29.74,1,81,-1,5
15,20100710,66,RKTT,29.79,0,80,-1,4
16,20100711,67,RKTT,29.61,1,72,-1,5
17,20100712,65,RKTT,29.81,1,73,-1,4
18,20100713,64,RKTT,29.81,1,74,-1,4
19,20100714,64,RKTT,29.83,0,76,-1,4
20,20100715,64,RKTT,29.90,0,77,-1,5
21,20100716,71,RKTT,29.92,1,75,-1,4
22,20100717,73,RKTT,29.97,1,79,-1,4
23,20100718,69,RKTT,29.96,0,82,-1,4
24,20100719,68,RKTT,29.96,0,84,-1,4
25,20100720,68,RKTT,29.97,0,84,-1,5
26,20100721,68,RKTT,29.95,0,86,-1,5
27,20100722,70,RKTT,29.93,0,86,-1,4
28,20100723,70,RKTT,29.91,0,85,-1,4
29,20100724,71,RKTT,29.95,1,82,-1,4
30,20100725,69,RKTT,29.98,1,81,-1,4
31,20100726,70,RKTT,29.97,1,80,-1,4
32,20100727,69,RKTT,29.90,0,82,-1,4
33,20100728,71,RKTT,29.70,1,78,-1,5
34,20100729,71,RKTT,29.55,0,82,-1,4
35,20100730,72,RKTT,29.62,0,85,-1,4
36,20100731,72,RKTT,29.68,1,85,-1,6
37,20100801,72,RKTT,29.73,0,88,-1,5
38,20100802,73,RKTT,29.71,1,88,-1,5
39,20100803,71,RKTT,29.73,1,80,-1,6
40,20100804,72,RKTT,29.78,0,84,-1,5
41,20100805,72,RKTT,29.90,0,86,-1,5
42,20100806,73,RKTT,29.99,1,87,-1,4
43,20100807,72,RKTT,29.96,1,86,-1,4
44,20100808,70,RKTT,29.86,1,83,-1,4
45,20100809,70,RKTT,29.80,0,84,-1,6
46,20100810,74,RKTT,29.80,1,82,-1,5
47,20100811,74,RKTT,29.53,1,82,-1,7
48,20100812,69,RKTT,29.67,0,84,-1,6
49,20100813,73,RKTT,29.63,1,83,-1,4
50,20100814,75,RKTT,29.70,1,84,-1,3
51,20100815,74,RKTT,29.71,1,82,-1,3
52,20100816,74,RKTT,29.80,1,82,-1,3
53,20100817,71,RKTT,29.86,1,79,-1,3
54,20100818,72,RKTT,29.98,0,83,-1,5
55,20100819,72,RKTT,30.10,0,84,-1,7
56,20100820,70,RKTT,30.07,0,86,-1,5
57,20100821,72,RKTT,30.00,1,86,-1,3
58,20100822,71,RKTT,29.94,0,88,-1,3
59,20100823,70,RKTT,29.91,0,87,-1,3
